任務領域,詞彙,漢語拼音,詞類
,遠,yuǎn ,(VS)
,近,jìn ,(VS)
,快,kuài ,(VS)
,慢,màn ,(VS)
,站,zhàn ,(VA)
,坐,zuò ,(VA)
,離,lí ,(VA)
,往,wǎng ,(Prep)
,送,sòng ,(VA)
,地圖,dìtú ,(N)
,過,guò ,(VA)
,拿,ná ,(VA)
,放,fàng ,(VA)
,到,dào ,(VA)
,照相機,zhàoxiàngjī ,(N)
,照相,zhàoxiàng ,(VA)
,風景,fēngjǐng ,(N)
健康及身體照護,眼睛,yǎnjīng ,(N)
,身體,shēntǐ ,(N)
,頭,tóu ,(N)
,頭髮,tóufǎ ,(N)
,耳朵,ěrduo,(N)
,手,shǒu ,(N)
,手指(頭),shǒuzhǐ(tou),(N)
,肚子,dùzi ,(N)
,累,lèi ,(VS)
,健康,jiànkāng ,(VS)
,感冒,gǎnmào ,(VS)
,生病,shēngbìng ,(VS)
,受傷,shòushāng  ,(VS)
,餓,è ,(VS)
,渴,kě ,(VS)
,舒服(ㄈㄨ˙),shūfu,(VS)
,藥,yào ,(N)
,眼鏡,yǎnjìng ,(N)
,痛,tòng ,(VS)
購物,想,xiǎng ,(VA)
,希望,xīwàng ,(VS)
,便宜(一˙),piányi ,(VS)
,貴,guì ,(VS)
,容易,róngyì ,(VS)
,難,nán ,(VS)
,要,yào ,(VA)
,好吃,hǎochī ,(VS)
,商店,shāngdiàn ,(N)
,店,diàn ,(N)
,市場,shìchǎng ,(N)
,重要,zhòngyào ,(VS)
,給,gěi ,(VA)
,給 ,gěi ,(Prep)
,有,yǒu ,(VA)
,公斤,gōngjīn ,(M)
,顏色,yánsè ,(N)
,黃色,huángsè ,(N)
,白色,báisè ,(N)
,衣服(ㄈㄨ˙),yīfu,(N)
,襪子,wàzi ,(N)
,褲子,kùzi ,(N)
,裙子,qúnzi ,(N)
,鞋子,xiézi ,(N)
,雙,shuāng ,(M)
,大,dà ,(VS)
,長,cháng ,(VS)
,小,xiǎo ,(VS)
,短,duǎn ,(VS)
,新,xīn ,(VS)
,錢,qián ,(N)
,元,yuán ,(M)
,比,bǐ ,(Prep)
