詞彙,漢語拼音,詞類
好好/好好兒,hǎohǎo/hǎohǎor,(Adv)
好幾,hǎojǐ ,(Det)
好了,hǎole ,(P)
好些,hǎoxiē ,(Det)
和,hé ,(Prep)
盒,hé ,(M)
合,hé ,(VS)
合唱,héchàng ,(VA)
合作,hézuò ,(VS)
黑,hēi,(VS)
恨,hèn ,(VS)
恨不得,hènbùdé ,(VS)
紅,hóng,(VS)
紅包,hóngbāo,(N)
紅豆,hóngdòu ,(N)
厚,hòu ,(VS)
後,hòu ,(Det)
後,hòu ,(N)
忽然,hūrán ,(Adv)
糊塗,hútú ,(VS)
互相,hùxiāng ,(Adv)
花,huā ,(VA)
花心,huāxīn,(VS)
滑雪,huáxuě,(VA)
畫家,huàjiā,(N)
話說回來,huàshuōhuílái ,(Conj)
話題,huàtí ,(N)
化妝品,huàzhuāngpĭn ,(N)
壞處,huàichù ,(N)
還,huán,(VA)
環保,huánbăo ,(N)
黃,huáng,(VS)
回,huí ,(M)
回答,huídá ,(N)
回想,huíxiăng ,(VA)
會,huì ,(N)
會場,huìchăng ,(N)
會話,huìhuà ,(N)
會議,huìyì ,(N)
婚禮,hūnlǐ ,(N)
婚姻,hūnyīn ,(N)
混亂,hùnluàn ,(VS)
活,huó ,(VS)
活動,huódòng ,(VA)
或許,huòxŭ ,(Adv)
基本,jīběn ,(N)
基本,jīběn ,(VS)
基礎,jīchŭ  ,(N)
基督教,Jīdūjiào,(N)
激動,jīdòng ,(VS)
激烈,jīliè  ,(VS)
積極,jījí  ,(VS)
機器,jīqì,(N)
及,jí ,(Conj)
急,jí ,(VS)
極,jí ,(Adv)
極了,jíle ,(Adv)
擠,jǐ ,(VA)
擠,jǐ ,(VS)
既,jì ,(Conj)
記,jì ,(VS)
記錄,jìlù ,(VA)
記錄,jìlù  ,(N)
記憶,jìyì ,(N)
季節,jìjié ,(N)
紀念,jìniàn  ,(N)
紀念,jìniàn  ,(VS)
技巧,jìqiăo  ,(N)
繼續,jìxù ,(VA)
加,jiā,(VA)
加強,jiāqiáng ,(VA)
加入,jiārù ,(VA)
加上,jiāshàng ,(VA)
加油,jiāyóu ,(VA)
家,jiā ,(M)
家鄉,jiāxiāng ,(N)
家長,jiāzhăng ,(N)
假,jiă ,(VS)
假如,jiărú ,(Conj)
假裝,jiăzhuāng ,(VA)
架,jià ,(M)
假日,jiàrì ,(N)
價值,jiàzhí ,(N)
肩膀,jiānbăng ,(N)
堅持,jiānchí ,(VS)
堅強,jiānqiáng ,(VS)
減,jiăn ,(VS)
減輕,jiănqīng ,(VS)
減少,jiănshăo ,(VS)
簡直,jiănzhí ,(Adv)
見,jiàn ,(VA)
建立,jiànlì ,(VA)
建設,jiànshè ,(N)
建設,jiànshè ,(VA)
建議,jiànyì ,(N)
建議,jiànyì ,(VA)
將來,jiānglái ,(N)
講價,jiăngjià ,(VA)
講究,jiăngjiù ,(VS)
獎學金,jiăngxuéjīn ,(N)
降低,jiàngdī ,(VS)
醬油,jiàngyóu ,(N)
交,jiāo ,(VA)
